game_id,season,week,site,kickoff_local,temp,wind,gust,precip
2015_17_NYJ_BUF,2015,17,BUF,2016-01-03 13:00:00,34.1,16.0,34.0,0.0
2016_02_NYJ_BUF,2016,2,BUF,2016-09-15 20:00:00,62.4,7.0,13.2,0.0
2016_03_ARI_BUF,2016,3,BUF,2016-09-25 13:00:00,63.0,3.4,11.2,0.0
2016_06_SF_BUF,2016,6,BUF,2016-10-16 13:00:00,70.1,15.9,30.9,0.0
2016_08_NE_BUF,2016,8,BUF,2016-10-30 13:00:00,47.9,7.2,21.0,0.031
2016_12_JAX_BUF,2016,12,BUF,2016-11-27 13:00:00,41.2,10.6,22.1,0.0
2016_14_PIT_BUF,2016,14,BUF,2016-12-11 13:00:00,27.7,8.8,17.9,0.008
2016_15_CLE_BUF,2016,15,BUF,2016-12-18 13:00:00,26.2,14.6,32.9,0.0
2016_16_MIA_BUF,2016,16,BUF,2016-12-24 13:00:00,37.5,11.2,27.1,0.0
2017_01_NYJ_BUF,2017,1,BUF,2017-09-10 13:00:00,62.3,5.4,13.9,0.0
2017_03_DEN_BUF,2017,3,BUF,2017-09-24 13:00:00,80.4,5.2,14.3,0.0
2017_07_TB_BUF,2017,7,BUF,2017-10-22 13:00:00,74.3,7.5,17.9,0.0
2017_08_OAK_BUF,2017,8,BUF,2017-10-29 13:00:00,41.3,5.2,14.8,0.043
2017_10_NO_BUF,2017,10,BUF,2017-11-12 13:00:00,41.5,3.5,11.0,0.0
2017_13_NE_BUF,2017,13,BUF,2017-12-03 13:00:00,46.0,12.1,24.2,0.0
2017_14_IND_BUF,2017,14,BUF,2017-12-10 13:00:00,32.5,21.5,42.3,0.008
2017_15_MIA_BUF,2017,15,BUF,2017-12-17 13:00:00,24.5,6.0,14.5,0.0
2018_02_LAC_BUF,2018,2,BUF,2018-09-16 13:00:00,81.9,1.4,7.6,0.0
2018_05_TEN_BUF,2018,5,BUF,2018-10-07 13:00:00,66.7,5.4,13.2,0.0
2018_08_NE_BUF,2018,8,BUF,2018-10-29 20:00:00,45.5,15.2,31.3,0.0
2018_09_CHI_BUF,2018,9,BUF,2018-11-04 13:00:00,49.0,7.0,17.4,0.0
2018_12_JAX_BUF,2018,12,BUF,2018-11-25 13:00:00,43.4,12.7,28.0,0.008
2018_14_NYJ_BUF,2018,14,BUF,2018-12-09 13:00:00,29.8,10.0,21.7,0.0
2018_15_DET_BUF,2018,15,BUF,2018-12-16 13:00:00,35.8,4.6,10.5,0.016
2018_17_MIA_BUF,2018,17,BUF,2018-12-30 13:00:00,34.4,15.0,30.9,0.0
2019_03_CIN_BUF,2019,3,BUF,2019-09-22 13:00:00,82.1,14.9,29.8,0.0
2019_04_NE_BUF,2019,4,BUF,2019-09-29 13:00:00,63.2,8.1,20.8,0.0
2019_07_MIA_BUF,2019,7,BUF,2019-10-20 13:00:00,62.7,4.3,13.0,0.0
2019_08_PHI_BUF,2019,8,BUF,2019-10-27 13:00:00,55.6,25.4,50.6,0.0
2019_09_WAS_BUF,2019,9,BUF,2019-11-03 13:00:00,41.2,17.9,37.6,0.0
2019_12_DEN_BUF,2019,12,BUF,2019-11-24 13:00:00,40.3,17.6,36.5,0.0
2019_14_BAL_BUF,2019,14,BUF,2019-12-08 13:00:00,41.8,14.7,34.4,0.0
2019_17_NYJ_BUF,2019,17,BUF,2019-12-29 13:00:00,44.3,6.6,12.1,0.031
2020_01_NYJ_BUF,2020,1,BUF,2020-09-13 13:00:00,68.9,15.2,30.4,0.028
2020_03_LA_BUF,2020,3,BUF,2020-09-27 13:00:00,78.4,12.0,28.9,0.0
2020_06_KC_BUF,2020,6,BUF,2020-10-19 17:00:00,53.2,4.5,11.0,0.0
2020_08_NE_BUF,2020,8,BUF,2020-11-01 13:00:00,44.0,16.1,47.4,0.102
2020_09_SEA_BUF,2020,9,BUF,2020-11-08 13:00:00,65.8,4.4,11.9,0.0
2020_12_LAC_BUF,2020,12,BUF,2020-11-29 13:00:00,48.3,11.2,24.6,0.0
2020_14_PIT_BUF,2020,14,BUF,2020-12-13 20:00:00,35.8,8.5,17.9,0.0
2020_17_MIA_BUF,2020,17,BUF,2021-01-03 13:00:00,36.7,2.8,5.6,0.004
2020_18_IND_BUF,2020,18,BUF,2021-01-09 13:00:00,33.0,4.5,12.3,0.0
2020_19_BAL_BUF,2020,19,BUF,2021-01-16 20:00:00,33.1,14.8,28.2,0.004
2021_01_PIT_BUF,2021,1,BUF,2021-09-12 13:00:00,73.0,16.7,35.3,0.008
2021_03_WAS_BUF,2021,3,BUF,2021-09-26 13:00:00,63.1,18.6,38.7,0.0
2021_04_HOU_BUF,2021,4,BUF,2021-10-03 13:00:00,67.6,9.3,21.5,0.024
2021_08_MIA_BUF,2021,8,BUF,2021-10-31 13:00:00,52.1,13.9,28.4,0.004
2021_11_IND_BUF,2021,11,BUF,2021-11-21 13:00:00,49.7,10.0,20.1,0.0
2021_13_NE_BUF,2021,13,BUF,2021-12-06 20:00:00,35.6,28.1,53.9,0.008
2021_15_CAR_BUF,2021,15,BUF,2021-12-19 13:00:00,29.5,8.1,18.1,0.0
2021_17_ATL_BUF,2021,17,BUF,2022-01-02 13:00:00,27.1,8.3,18.1,0.0
2021_18_NYJ_BUF,2021,18,BUF,2022-01-09 16:00:00,35.8,20.8,40.9,0.004
2021_19_NE_BUF,2021,19,BUF,2022-01-15 20:00:00,5.8,7.0,15.2,0.0
2022_02_TEN_BUF,2022,2,BUF,2022-09-19 19:00:00,66.9,14.8,27.3,0.004
2022_05_PIT_BUF,2022,5,BUF,2022-10-09 13:00:00,55.2,20.4,40.5,0.0
2022_08_GB_BUF,2022,8,BUF,2022-10-30 20:00:00,50.0,3.5,7.2,0.0
2022_10_MIN_BUF,2022,10,BUF,2022-11-13 13:00:00,38.1,6.6,18.8,0.012
2022_14_NYJ_BUF,2022,14,BUF,2022-12-11 13:00:00,37.9,13.2,24.2,0.016
2022_15_MIA_BUF,2022,15,BUF,2022-12-17 20:00:00,30.7,10.8,22.8,0.012
2022_18_NE_BUF,2022,18,BUF,2023-01-08 13:00:00,31.4,4.1,11.4,0.0
2022_19_MIA_BUF,2022,19,BUF,2023-01-15 13:00:00,28.0,2.1,9.2,0.0
2022_20_CIN_BUF,2022,20,BUF,2023-01-22 15:00:00,36.1,1.3,7.2,0.016
2023_02_LV_BUF,2023,2,BUF,2023-09-17 13:00:00,71.0,0.0,7.8,0.0
2023_04_MIA_BUF,2023,4,BUF,2023-10-01 13:00:00,70.8,4.8,13.0,0.0
