decay,prior,alpha,ridge,team_mae,margin_mae,total_mae,ats_bets,ats_pct,ats_roi,ou_bets,ou_pct,ou_roi,brier,n
0.85,0.5,32.0,10.0,7.487563088745624,10.202326221850845,10.722760291770472,312.0,0.5192307692307693,-0.008741258741258758,188.0,0.5319148936170213,0.015473887814313327,0.22272718681371217,1055
0.9,0.5,8.0,1.0,7.475688707312267,10.164659026572753,10.745247303369508,263.0,0.532319391634981,0.016246111303145502,179.0,0.5027932960893855,-0.04012188928390049,0.22226631883557815,1055
0.9,0.5,8.0,3.0,7.475583962513467,10.163941014086722,10.745127857047095,262.0,0.5305343511450382,0.012838306731436485,178.0,0.5,-0.045454545454545484,0.22225429291329454,1055
0.9,0.5,8.0,10.0,7.475275602954233,10.161775234113431,10.744737027716857,261.0,0.5325670498084292,0.016718913270637386,178.0,0.5,-0.045454545454545484,0.2222208891267521,1055
0.9,0.5,16.0,1.0,7.475522146372936,10.175205335512965,10.738621786914539,274.0,0.5218978102189781,-0.0036496350364963784,177.0,0.5084745762711864,-0.0292758089368259,0.22235148467205215,1055
0.9,0.5,16.0,3.0,7.475411739700067,10.174415370791777,10.738543199585546,273.0,0.5238095238095238,-2.957637095238512e-17,176.0,0.5056818181818182,-0.03460743801652894,0.22234016443415722,1055
0.9,0.5,16.0,10.0,7.4751325173644245,10.172006041362177,10.738281336510209,271.0,0.5276752767527675,0.007380073800737976,177.0,0.5084745762711864,-0.0292758089368259,0.22230861942831887,1055
0.9,0.5,32.0,1.0,7.476336072816175,10.184187135195208,10.734371687585027,276.0,0.5289855072463768,0.009881422924901155,180.0,0.4888888888888889,-0.0666666666666667,0.22242077864966492,1055
0.9,0.5,32.0,3.0,7.4762516595408215,10.18336995450123,10.734324359777519,275.0,0.5272727272727272,0.006611570247933854,180.0,0.49444444444444446,-0.05606060606060607,0.22240991442712302,1055
0.9,0.5,32.0,10.0,7.475989896107287,10.180872672024487,10.734128052528881,276.0,0.532608695652174,0.016798418972331985,179.0,0.4972067039106145,-0.05078720162519046,0.22237956755939528,1055
0.93,0.5,16.0,1.0,7.476144516663234,10.171552798017386,10.751043264343538,260.0,0.5192307692307693,-0.008741258741258754,171.0,0.49707602339181284,-0.051036682615630005,0.22225018556883927,1055
0.93,0.5,16.0,3.0,7.475973740684457,10.170670379935773,10.750751336061292,260.0,0.5192307692307693,-0.008741258741258754,172.0,0.5,-0.04545454545454548,0.2222329450503731,1055
0.93,0.5,16.0,10.0,7.47551542740581,10.168020826989128,10.749875832451384,260.0,0.5192307692307693,-0.008741258741258766,175.0,0.49714285714285716,-0.05090909090909093,0.222185619352107,1055
0.93,0.5,32.0,1.0,7.47661717758638,10.1808322393981,10.746574747208408,270.0,0.5111111111111111,-0.024242424242424277,175.0,0.4857142857142857,-0.07272727272727274,0.2223458726251784,1055
